name_clean,SCIENTIFIC.NAME,specID
Black_Skimmer,Rynchops niger,OTT:738512
Anhinga,Anhinga anhinga,OTT:170196
Eastern_Wood-Pewee,Contopus virens,OTT:1095258
Common_Nighthawk,Chordeiles minor,OTT:870594
Ring-necked_Duck,Aythya collaris,OTT:1044563
Brewers_Blackbird,Euphagus cyanocephalus,OTT:264500
Black-crowned_Night-Heron,Nycticorax nycticorax,OTT:313126
Eurasian_Collared-Dove,Streptopelia decaocto,OTT:277818
Short-billed_Dowitcher,Limnodromus griseus,OTT:234683
Great_Horned_Owl,Bubo virginianus,OTT:509853
Northern_Harrier,Circus hudsonius,OTT:3596190
Snowy_Plover,Charadrius nivosus,OTT:331463
Black-throated_Green_Warbler,Setophaga virens,OTT:1014098
Sanderling,Calidris alba,OTT:654824
Red-breasted_Merganser,Mergus serrator,OTT:662625
Greater_Yellowlegs,Tringa melanoleuca,OTT:304017
Brown_Pelican,Pelecanus occidentalis,OTT:329999
Tree_Swallow,Tachycineta bicolor,OTT:136028
American_Pipit,Anthus rubescens,OTT:80714
Common_Gallinule,Gallinula galeata,OTT:181047
Pectoral_Sandpiper,Calidris melanotos,OTT:57825
Baltimore_Oriole,Icterus galbula,OTT:1077595
Dickcissel,Spiza americana,OTT:364334
Black-bellied_Plover,Pluvialis squatarola,OTT:917054
Black-necked_Stilt,Himantopus mexicanus,OTT:427701
Loggerhead_Shrike,Lanius ludovicianus,OTT:551815
Green-winged_Teal,Anas crecca,OTT:656799
Mississippi_Kite,Ictinia mississippiensis,OTT:425440
Worm-eating_Warbler,Helmitheros vermivorum,OTT:860003
Solitary_Sandpiper,Tringa solitaria,OTT:809000
American_White_Pelican,Pelecanus erythrorhynchos,OTT:316989
Wilsons_Snipe,Gallinago delicata,OTT:234669
Boat-tailed_Grackle,Quiscalus major,OTT:283673
Blue-winged_Teal,Spatula discors,OTT:82415
Winter_Wren,Troglodytes hiemalis,OTT:384301
Lark_Sparrow,Chondestes grammacus,OTT:890355
Red-breasted_Nuthatch,Sitta canadensis,OTT:603923
Mottled_Duck,Anas fulvigula,OTT:82422
Rock_Pigeon,Columba livia,OTT:938416
Dunlin,Calidris alpina,OTT:887705
Little_Blue_Heron,Egretta caerulea,OTT:892214
Osprey,Pandion haliaetus,OTT:509837
Northern_Waterthrush,Parkesia noveboracensis,OTT:285210
Common_Goldeneye,Bucephala clangula,OTT:166683
