species,common_name,difference,diff_SE,k,inat_medPred,inat_SE,inat_medResp,inat_GAM_pval,ebird_medPred,ebird_SE,ebird_medResp,ebird_GAM_pval,lb95CI,ub95CI,pval_uncorr,pval,sigdir,name_clean,specID,family,order,crest,max.color.contrast,pelagic,mass,shape,endangerment,all_success,rate,nhex
Cardellina pusilla,Wilsons_Warbler,-1.0819642823291824,0.5131590623466499,30,-7.231030968022321,0.5491652552839742,7.2325081987217e-4,1,-6.591971701917253,0.07212009638358646,0.00136945545544624,0.5775,-2.08773756286896,-0.07619100178940474,0.0349930841453066,0.07557867032296814,Non-significant,Wilsons_Warbler,OTT:119878,Parulidae,Passeriformes,none,100,0,6.96,Warbler,Least Concern,660738,0.01867194782712935,4203
Setophaga petechia,Yellow_Warbler,-0.844861999842802,0.2240879243066795,30,-6.186450427050318,0.2329313695925534,0.00205289265383593,1,-5.3409972396215775,0.0390013658134284,0.00476824536702874,1,-1.2840662608542315,-0.40565773883137246,1.6310012852309717e-4,4.945279537911856e-4,Underreported,Yellow_Warbler,OTT:612066,Parulidae,Passeriformes,none,100,0,10.22,Warbler,Least Concern,1897531,0.05362276701561071,4935
Perisoreus canadensis,Canada_Jay,1.4334022962138688,1.2787096648442635,29,-4.351215162612846,1.4893646755714758,0.01272707178807229,0.9925,-6.639204645229267,0.00711652805169853,0.00130635840311691,0.985,-1.0728225935641709,3.939627185991908,0.2622982611871567,0.4248872518545381,Non-significant,Canada_Jay,OTT:906628,Corvidae,Passeriformes,none,30,0,71.58,Crow/Jay,Least Concern,63179,0.00178538996057469,880
Setophaga striata,Blackpoll_Warbler,-1.5393434067389076,2.727480847366376,25,-8.538934414235468,2.762716163512024,1.9566039233062516e-4,1,-7.206438103802811,0.01012911531853805,7.41244799550724e-4,0.905,-6.885107636099793,3.8064208226219765,0.5724936096977845,0.7692882880313979,Non-significant,Blackpoll_Warbler,OTT:60236,Parulidae,Passeriformes,none,90,0,11.84,Warbler,Near Threatened,327032,0.00924167285944166,2557
Spizella breweri,Brewers_Sparrow,-2.0887241970098103,4.168574369636398,25,-8.291489300065704,4.1870991306849925,2.5057810000470563e-4,1,-6.070126856725519,0.01051459181491822,0.00230555218679944,0.12,-10.258979828373908,6.081531434354288,0.616325803427051,0.7990028899880988,Non-significant,Brewers_Sparrow,OTT:463034,Passerellidae,Passeriformes,none,30,0,10.9,Sparrow,Least Concern,136703,0.00386312166670005,1873
Pelecanus occidentalis,Brown_Pelican,0.7930841659753859,0.0677845621242815,25,-5.7393440803136055,0.1260025602869388,0.00320656247780536,0.9925,-7.181210592138893,0.01344393809636598,7.601680359041246e-4,0.2125,0.6602288655039763,0.9259394664467955,0,0,Overreported,Brown_Pelican,OTT:329999,Pelecanidae,Pelecaniformes,none,37.5,0,3427.84,Seabird,Least Concern,881538,0.02491158605019229,812
Spizella passerina,Chipping_Sparrow,-0.22049162936132927,0.0290716080114721,25,-5.044995192276408,0.03447174543530538,0.00640026408704241,1,-4.739321182357351,9.441006184120334e-4,0.00866877534570529,0.48,-0.27747093403648065,-0.16351232468617788,3.33947173339471e-14,1.7357913515337338e-13,Underreported,Chipping_Sparrow,OTT:989504,Passerellidae,Passeriformes,none,60,0,12.2,Sparrow,Least Concern,2972554,0.08400209039184164,5098
Petrochelidon pyrrhonota,Cliff_Swallow,-0.7074452748543703,0.06103554841788155,25,-6.480417258136164,0.06624092046284855,0.00153082380345944,1,-5.71560979171862,0.00846744654797908,0.00328332543159283,0.4825,-0.8270727515300688,-0.5878177981786717,4.593151223754575e-31,3.291758377024113e-30,Underreported,Cliff_Swallow,OTT:302798,Hirundinidae,Passeriformes,none,60,0,21.6,Swallow/Swift,Least Concern,852829,0.02410029178503869,4946
Gavia immer,Common_Loon,-0.15484418176446169,0.02743894228310035,25,-6.9293970675217995,0.03261369054267398,9.776340111178926e-4,1,-6.717232504599844,0.01033434366619992,0.00120841988226071,0.7225,-0.2086235204132116,-0.10106484311571176,1.6689200448203354e-8,7.048206975000166e-8,Underreported,Common_Loon,OTT:1057518,Gaviidae,Gaviiformes,none,90,0,4956.81,Duck,Least Concern,859620,0.0242922002233214,3290
Accipiter cooperii,Coopers_Hawk,0.1747183044044478,0.05421061574585463,25,-5.677091223283335,0.04525498538827136,0.00341182179839996,1,-5.9034416897892985,0.03347420765370083,0.00272259991876246,0.295,0.06846744996283277,0.2809691588460628,0.00126876061565806,0.0033905297808263413,Overreported,Coopers_Hawk,OTT:764598,Accipitridae,Accipitriformes,none,50,0,429.67,Hawk/Falcon,Least Concern,1473034,0.04162680819869246,4878
Coccothraustes vespertinus,Evening_Grosbeak,-0.6174181634032818,0.7899009597599136,25,-7.435167100632384,0.8841799409625413,5.897823090089008e-4,0.71,-7.305800005991081,0.00738393803618723,6.711812001372945e-4,0.1925,-2.1655955958863347,0.930759269079771,0.43442618921768317,0.6361720975231088,Non-significant,Evening_Grosbeak,OTT:518149,Fringillidae,Passeriformes,none,70,0,57.3,Finch,Vulnerable,154293,0.00436020154144497,2146
Anser albifrons,Greater_White-fronted_Goose,-0.23803758201053027,0.17022227467985632,25,-7.573003678450609,0.17507462701221305,5.138815882408974e-4,0.9875,-7.386623690571168,0.01285122431132303,6.191004734090365e-4,0.3325,-0.5716671097495329,0.0955919457284724,0.1619951816533694,0.28463667359524175,Non-significant,Greater_White-fronted_Goose,OTT:430239,Anatidae,Anseriformes,none,45,0,2506.39,Duck,Least Concern,218621,0.00617806135853371,2934
Anas crecca,Green-winged_Teal,-1.3134168528431045,0.4818617454490092,25,-7.048709910062641,0.47822008998251625,8.677750274836289e-4,0.76,-5.785410196148305,0.05899585994207029,0.00306264138692115,1,-2.2578485194507696,-0.3689851862354393,0.006416275065848872,0.015724860653608893,Underreported,Green-winged_Teal,OTT:656799,Anatidae,Anseriformes,none,80,0,341.89,Duck,Least Concern,1214387,0.0343176428568421,4578
Haemorhous mexicanus,House_Finch,-0.5636409043065589,0.04676128460241283,25,-4.81444200500813,0.03170599084478959,0.00804647614976969,1,-4.301187036505445,0.03967303438638409,0.0133712488484814,0.8825,-0.6552913379981153,-0.4719904706150024,1.8570446100194724e-33,1.4639701675653507e-32,Underreported,House_Finch,OTT:711865,Fringillidae,Passeriformes,none,80,0,21.4,Finch,Least Concern,6139561,0.17349927304541002,5005
Passerina amoena,Lazuli_Bunting,-1.089545747029745,0.9065715977590796,25,-7.2070474846537245,0.8867944259199158,7.407935712796786e-4,1,-6.197603426605799,0.00661975589619182,0.00203017017302059,0.4075,-2.866393428044473,0.6873019339849835,0.22942905613480943,0.3768053595547391,Non-significant,Lazuli_Bunting,OTT:119888,Cardinalidae,Passeriformes,none,100,0,15.49,Finch,Least Concern,231265,0.00653537107634352,2189
Empidonax minimus,Least_Flycatcher,-4.472939275414635,4.822347610031828,25,-11.013368122167591,4.733119489208675,1.6479644555530185e-5,0.585,-6.9286269031605485,0.01226128987357762,9.783865030604138e-4,0.95,-13.924566912009823,4.978688361180552,0.3536441918294555,0.5413025763123414,Non-significant,Least_Flycatcher,OTT:604018,Tyrannidae,Passeriformes,none,60,0,10,Flycatcher,Least Concern,325607,0.0092014034551488,3203
Clangula hyemalis,Long-tailed_Duck,0.4041871551552394,0.6977358388672357,25,-7.48287035191518,0.7787392942439365,5.623237345390056e-4,1,-8.620206751604787,0.01394697638196677,1.803904015424631e-4,0.2025,-0.9633499597473847,1.7717242700578635,0.5623976104949495,0.7600401993260317,Non-significant,Long-tailed_Duck,OTT:316879,Anatidae,Anseriformes,none,75,0,871,Duck,Vulnerable,214562,0.00606335713956898,1470
Setophaga magnolia,Magnolia_Warbler,-1.138972842259656,0.6842219155015086,25,-7.528769397354275,0.7304380389704581,5.371105320278876e-4,1,-6.593576506642415,0.06582818022920463,0.00136726251179881,0.985,-2.480023154075621,0.2020774695563088,0.09598761308926179,0.18381433599684546,Non-significant,Magnolia_Warbler,OTT:532751,Parulidae,Passeriformes,none,85,0,8.14,Warbler,Least Concern,536834,0.01517051605905693,2714
Sialia currucoides,Mountain_Bluebird,0.08088635651386467,0.04150051712192702,25,-6.013995703497912,0.05368821784852509,0.00243834189236417,1,-6.007317225380287,0.01267034814335144,0.00245464069798112,0.985,-4.531623849001326e-4,0.16222587541262945,0.051290105291011745,0.10640447281863401,Non-significant,Mountain_Bluebird,OTT:431648,Turdidae,Passeriformes,none,100,0,29.6,Thrush,Least Concern,197707,0.00558704779966985,2197
Colinus virginianus,Northern_Bobwhite,-0.5051464606140295,0.4734493826871327,25,-6.720830056682022,0.5753855637997114,0.00120408556452429,1,-6.7308072331932864,0.00820505775735316,0.00119214617176606,0.8975,-1.433090199183531,0.42279727795547184,0.2859947564989626,0.45547313072057005,Non-significant,Northern_Bobwhite,OTT:204709,Odontophoridae,Galliformes,short,40,0,171.89,Game,Near Threatened,220127,0.00622061976054427,2720
Parkesia noveboracensis,Northern_Waterthrush,-4.544764290974539,12.09411044608177,25,-11.901135733517606,12.09201862194824,6.7826510901560325e-6,0.16,-7.491636926907525,0.00873628788086818,5.574183623021319e-4,0.9225,-28.24878519034445,19.159256608395367,0.7070780313085903,0.8755180858873383,Non-significant,Northern_Waterthrush,OTT:285210,Parulidae,Passeriformes,none,45,0,16.3,Warbler,Least Concern,318318,0.0089954219197869,3151
Setophaga palmarum,Palm_Warbler,0.05323009664821443,0.28971048496788854,25,-6.066389854003129,0.33938371865973316,0.0023141641846028,1,-6.50987129764718,0.01284427860552112,0.00148645845817565,0.99,-0.5145920198324797,0.6210522131289086,0.8542209692822598,0.9643114999296154,Non-significant,Palm_Warbler,OTT:505064,Parulidae,Passeriformes,none,80,0,10.3,Warbler,Least Concern,966214,0.02730446470135206,2873
